seed_ID,ep_reward_pw1,ep_reward_pw2,ep_reward_pw3,ep_reward_pw4,ep_reward_pw5
1,-1392.7704598622506,-1503.5010236931575,-1165.5087314777556,-1013.0518435700943,-461.06187768580406
2,-1039.3190070858225,-1618.8551985831343,-1936.1784601311304,-720.4214572936937,-279.86543807687536
3,-1243.7465627092402,-1039.6823209355018,-1616.0663500535356,-749.4800468873641,-465.527962934216
4,-1108.330336400028,-1353.5786226188065,-1219.629423174238,-1188.993498064081,-379.8370019024851
5,-1349.419885889633,-1297.5165494223554,-2177.3065810460835,-1199.4035582500965,-461.3502549600129
6,-747.6527523200164,-1180.1751953516043,-1317.1330033565791,-1043.0169545489182,-317.8595725513978
7,-1018.1730380928454,-1613.6228927273055,-1331.7835112737846,-1451.8138041618854,-469.9618689439327
8,-975.1607100874835,-1016.0249290343944,-1043.8049912925317,-1469.1575697248672,-264.8767365092864
9,-799.8197392597049,-1493.8822248271217,-1226.8072868474567,-1305.0278154161113,-335.10485365302355
10,-1445.9224550883441,-1125.9700374916374,-1461.788244253525,-1187.536073810436,-345.87521833771757
11,-1183.346411032057,-1001.0447063745047,-1598.89650427706,-863.8997141290946,-457.04359982556383
12,-1183.6554134820428,-1154.6710714707194,-1483.8009021721823,-1116.4402758099586,-445.1780136309184
13,-589.879338139539,-1332.4456082046026,-1189.037518241487,-1105.7929098107581,-391.55976791245183
14,-840.9626023608273,-1410.3815135148272,-1653.9217486593884,-1183.4134104446441,-292.31589158185454
15,-793.5029348498283,-1104.7196412458065,-1140.0465039354497,-867.6070329812682,-327.03964017167067
16,-990.615936864147,-1533.7431103614022,-1294.403899446515,-848.0296265953002,-330.648498022182
17,-1035.2447275504433,-1198.4336365586491,-1601.0561485649594,-1172.4500903600003,-630.9724526258263
18,-807.2425503829161,-1341.1437414622199,-1098.2556495336032,-1053.0480265743545,-562.5103828991405
19,-762.2639624864319,-1485.7631407420627,-1861.0699017070278,-1291.885727253009,-359.44455860639033
20,-1190.916731248251,-1405.2684217067015,-1795.1828085002578,-971.5104185094336,-407.8908922392092
21,-791.1390186684669,-1059.8469878643527,-1222.2907308894376,-903.7779894241389,-310.8895950787704
22,-829.7761150760344,-1496.420486466077,-1121.9799509023396,-1209.1904695370908,-381.36955425620124
23,-1044.172198329955,-1429.826680251591,-1335.4901773062697,-1186.8024683610747,-467.2940182903914
24,-832.8147973851416,-1408.5273382789064,-1053.7727034098377,-1187.8112690909898,-473.0090243466261
25,-809.1819846003095,-1068.3815697048042,-1171.9917678947513,-1357.6070539652108,-390.2287554568204
26,-1369.511623570861,-1436.5674710491933,-1416.3495096061026,-1180.0992721581324,-283.4717761313521
27,-1018.0522688428192,-2188.2594924087257,-1941.0641283039163,-1013.7665453463749,-345.056400852151
28,-997.8238261306526,-1149.1816184973734,-1193.1599019482587,-903.567659347276,-217.81913668425273
29,-1212.0185624768974,-1454.493282471404,-2017.6726829701602,-755.8357934129847,-345.6974623570067
30,-921.8630071148943,-1332.83783564543,-1284.548463128447,-1148.9678889343134,-369.36830292558045
31,-1005.6983366534635,-1379.4668421577217,-1173.7777133518023,-1163.3416809861387,-509.53131631230923
32,-1210.862923031846,-1089.9472392965451,-1568.2115346638557,-912.4592361884875,-424.6608978978072
33,-609.3674554484919,-1263.9986115997542,-968.4432626313678,-1335.2295648442164,-435.22412203766163
34,-1020.5549482581282,-1162.4240817166942,-1471.3245531688353,-932.0228623163242,-355.6534569284338
35,-1000.1604043318985,-1473.2998048991794,-1162.5313962674365,-1147.9036949391677,-483.1773408542404
36,-833.0583786142437,-1691.1663542094075,-1436.908280140134,-916.7311801567323,-482.4500137628731
37,-1359.2343339225818,-1852.7675469993853,-1775.8571547627607,-1182.051440587502,-335.9886103427693
38,-1135.4386334936098,-1227.9255822628745,-1072.5895572321574,-1034.3556881286884,-296.436026024075
39,-615.3464516251541,-1347.300616602243,-1413.3574129317637,-982.1030502137697,-404.321961088435
